序号,角色,作品,CV,预选赛第一轮,预选赛第二轮,第一阶段第一轮,第一阶段第二轮,第一阶段第三轮,第一阶段第四轮,第二阶段第一轮,第二阶段第二轮,第二阶段第三轮,第二阶段第四轮,第三阶段第一轮,第三阶段第二轮,第三阶段第三轮,第三阶段第四轮,淘汰赛第一轮,淘汰赛第二轮,淘汰赛第三轮,淘汰赛第四轮,累计得票数
39,山田凉,孤独摇滚！,水野朔,1162,2027,5121.0,4857.0,3714.0,1632.0,2759.0,3161.0,3612.0,305.0,3807.0,1968.0,3011.0,,,25054.9,,,35199
40,宫园薰,四月是你的谎言,种田梨沙,672,1255,3233.0,3865.0,3882.0,4266.0,2249.0,3370.0,3164.0,,,,,,3802.0,22062.4,,,21690
41,三笠·阿克曼,进击的巨人,石川由依,598,1129,3128.0,3645.0,3857.0,,,,,,,,,,3440.0,,,,12357
42,春日野穹,缘之空,田口宏子,773,1380,3434.0,3949.0,3882.0,4395.0,2435.0,2769.0,3608.0,,,,,,3408.0,21062.3,,,22230
43,凉宫春日,凉宫春日的忧郁,平野绫,564,1014,2623.0,3579.0,3848.0,3737.0,,,,,,,,,,,,,11628
44,琴吹䌷,轻音少女,寿美菜子,862,1423,3522.0,4249.0,3113.0,4439.0,1912.0,3499.0,3479.0,460.61,,,,,,,,,22059
45,鹿目圆,魔法少女小圆,悠木碧,635,1199,2681.0,3310.0,3980.0,3593.0,,,,,,,,,,,,,11805
46,惣流·明日香·兰格雷,新世纪福音战士,宫村优子,612,1276,3368.0,3803.0,3634.0,,,,,,,,,,3643.0,,,,12693
47,东海帝王,赛马娘 Pretty Derby,Machico,706,1292,3561.0,3553.0,3837.0,3746.0,,,,,,,,,,,,,12949
48,和泉纱雾,埃罗芒阿老师,藤田茜,800,1427,4505.0,4368.0,4608.0,644.0,2460.0,3255.0,3473.0,1579.15,2754.0,2836.0,3333.0,,,21000.7,,,33819
49,宫水三叶,你的名字。,上白石萌音,749,1766,4944.0,5009.0,4077.0,912.0,2951.0,3511.0,2784.0,729.93,,,,,,,,,25791
50,伞木希美,吹响！上低音号,东山奈央,689,1157,1994.0,2313.0,3219.0,,,,,,,,,,3602.0,,,,9372
51,泉此方,幸运☆星,平野绫,608,1180,,,,,,,,,,,,,,,,,1788
52,白井黑子,魔法禁书目录,新井里美,923,1541,5085.0,4652.0,3627.0,650.0,2684.0,3535.0,2957.0,815.61,,,,,,,,,25004
53,西宫硝子,声之形,早见沙织,803,1369,3629.0,3671.0,4425.0,4388.0,2395.0,3071.0,3503.0,1042.23,,,,,,,,,22866
54,远坂凛,Fate系列,植田佳奈,690,1200,4402.0,4301.0,4446.0,1032.0,2826.0,4107.0,2816.0,,2907.0,2566.0,4080.0,444,,,,,34341
55,伊地知虹夏,孤独摇滚！,铃代纱弓,1046,1727,4300.0,4786.0,3618.0,,2632.0,3028.0,3335.0,1408.15,3223.0,3146.0,3212.0,662,,26453.3,,,34053
56,珂朵莉·诺塔·瑟尼欧里斯,末日时在做什么？有没有空？可以来拯救吗？,田所梓,594,1056,,,,,,,,,,,,,,,,,1650
57,田井中律,轻音少女,佐藤聪美,916,1472,3798.0,2369.0,4537.0,4429.0,2050.0,3608.0,3588.0,447.0,2964.0,2893.0,2951.0,276,,23708.5,,,31146
58,阿库娅,为美好的世界献上祝福！,雨宫天,588,949,,,,,,,,,,,,,,,,,1537
59,晓美焰,魔法少女小圆,斋藤千和,577,1226,2678.0,3571.0,3042.0,,,,,,,,,,3521.0,,,,11094
60,绫波丽,新世纪福音战士,林原惠,670,1398,3396.0,3665.0,3728.0,,,,,,,,,,3640.0,,,,12857
61,五河琴里,约会大作战,竹达彩奈,708,1143,3095.0,3475.0,3623.0,,,,,,,,,,3597.0,,,,12044
62,夜刀神十香,约会大作战,井上麻里奈,543,1043,,,,,,,,,,,,,,,,,1586
63,中野二乃,五等分的新娘,竹达彩奈,907,1464,3858.0,3037.0,3988.0,,2002.0,2439.0,3016.0,,,,,,3481.0,18553.5,,,20711
64,由崎司,总之就是非常可爱,鬼头明里,660,1279,2941.0,4248.0,3428.0,3821.0,,,,,,,,,,,,,12556
65,一色伊吕波,我的青春恋爱物语果然有问题。,佐仓绫音,638,942,,,,,,,,,,,,,,,,,1580
66,喜多川海梦,更衣人偶坠入爱河,直田姬奈,615,1138,2232.0,3338.0,3591.0,,,,,,,,,,3624.0,,,,10914
67,桐崎千棘,伪恋,东山奈央,434,880,,,,,,,,,,,,,,,,,1314
68,栗山未来,境界的彼方,种田梨沙,554,884,,,,,,,,,,,,,,,,,1438
69,井之上泷奈,莉可丽丝,若山诗音,767,1210,3760.0,3603.0,4029.0,4011.0,2029.0,3489.0,2934.0,600.47,,,,,,,,,21821
70,艾莉丝·伯雷亚斯·格雷拉特,无职转生,加隈亚衣,609,1024,,,,,,,,,,,,,,,,,1633
71,堀北铃音,欢迎来到实力至上主义的教室,鬼头明里,707,1154,2310.0,2960.0,3113.0,,,,,,,,,,3415.0,,,,10244
72,鸢一折纸,约会大作战,富坚美铃,674,982,2511.0,4018.0,3110.0,,,,,,,,,,3521.0,,,,11295
