序号,角色,作品,CV,预选 轮次1-1,预选 轮次1-2,预选 轮次2-1,预选 轮次2-2,预选 轮次3-1,预选 轮次3-2,第一阶段 轮次 1,第一阶段 轮次 2,第一阶段 轮次 3,第一阶段 轮次 4,第一阶段 轮次 5,第一阶段 轮次 6,第二阶段 轮次 1,第二阶段 轮次 2,第二阶段 轮次 3,第二阶段 轮次 4,第二阶段 轮次 5,第二阶段 轮次 6,第三阶段 轮次 1,第三阶段 轮次 2,第三阶段 轮次 3,第三阶段 轮次 4,第三阶段 轮次 5,第三阶段 轮次 6,第四阶段 轮次 1,第四阶段 轮次 2,第四阶段 轮次 3,第四阶段 轮次 4,第四阶段 轮次 5,第四阶段 轮次 6,第五阶段 轮次 1,第五阶段 轮次 2,第五阶段 轮次 3,第五阶段 轮次 4,第五阶段 轮次 5,第五阶段 轮次 6,淘汰赛阶段 轮次 1,淘汰赛阶段 轮次 2,淘汰赛阶段 轮次 3,淘汰赛阶段 轮次 4,淘汰赛阶段 轮次 5,淘汰赛阶段 轮次 6,淘汰赛阶段 轮次 7,淘汰赛阶段 轮次 8,淘汰赛阶段 轮次 9
26,阿尼亚·福杰,间谍过家家,种崎敦美,643,,,557,703,,580,566,186,818,780,3680.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,七宫智音,中二病也要谈恋爱！,长妻树里,623,,,597,1125,,665,670,446,807,479,328,539,737,710,541,1071,,,,,,,,,,,,,,,,,,,,4570.5,,,,,,,,
28,锦木千束,莉可丽丝,安济知佳,612,,427,,,632,634,644,279,764,782,359,771,815,669,522,1400,,,,,,,,,,,,,,,,,,,,4956.8,,,,,,,,
29,凸守早苗,中二病也要谈恋爱！,上坂堇,610,,,416,,685,417,542,270,746,525,3296.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,伊莉雅丝菲尔·冯·爱因兹贝伦,Fate系列,门胁舞以,602,,374,,653,,423,434,466,807,716,3154.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,芙拉蒂蕾娜·米利杰,86 -不存在的战区-,长谷川育美,578,,415,,,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,由比滨结衣,我的青春恋爱物语果然有问题。,东山奈央,540,,454,,,557,566,755,627,830,865,,849,715,695,688,1309,477,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,古河渚,CLANNAD,中原麻衣,540,,,495,,585,492,660,461,725,825,343,630,810,682,626,1166,,,,,,,,,,,,,,,,,,,,4798,,,,,,,,
34,马剃天爱星,败犬女主太多了！,诸星堇,525,,,555,672,,404,487,259,750,649,3552.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,晓美焰,魔法少女小圆,斋藤千和,511,,,574,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,宫园薰,四月是你的谎言,种田梨沙,508,,405,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,逢坂大河,龙与虎,钉宫理惠,492,,,459,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,约尔·福杰,间谍过家家,早见沙织,491,,387,,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,四糸乃,约会大作战,野水伊织,487,,433,,,556,557,690,283,818,887,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,柊舞缇娜,憧憬成为魔法少女,和泉风花,484,,,450,,539,455,467,225,738,631,2646.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,牧濑红莉栖,命运石之门,今井麻美,480,,383,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,夜刀神十香,约会大作战,井上麻里奈,477,,,400,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,食蜂操祈,魔法禁书目录,浅仓杏美,466,,,437,,971,595,754,266,877,867,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,塞西莉亚,白圣女与黑牧师,泽田姬,462,,335,,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,西木野真姬,LoveLive!系列,Pile,457,,,476,718,,419,403,256,670,698,2069.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,上原步梦,LoveLive!系列,大西亚玖璃,456,,394,,,689,486,499,294,739,402,2242.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,涩谷香音,LoveLive!系列,伊达小百合,455,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,毛利兰,名侦探柯南,山崎和佳奈,447,,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,中野二乃,五等分的新娘,竹达彩奈,434,,,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,佐天泪子,魔法禁书目录,伊藤加奈惠,429,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,木之本樱,魔卡少女樱,丹下樱,426,,399,,,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,凉宫春日,凉宫春日的忧郁,平野绫,416,,,466,649,,533,575,657,633,789,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,一色伊吕波,我的青春恋爱物语果然有问题。,佐仓绫音,412,,419,,730,,613,505,368,692,641,3991.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,中野五月,五等分的新娘,水濑祈,405,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,香风智乃,请问您今天要来点兔子吗？,水濑祈,382,,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,栗山未来,境界的彼方,种田梨沙,381,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,珂朵莉·诺塔·瑟尼欧里斯,末日时在做什么？有没有空？可以来拯救吗？,田所梓,375,,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,长门有希,凉宫春日的忧郁,茅原实里,369,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,阿良河基维,憧憬成为魔法少女,古贺葵,347,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,忍野忍,物语系列,坂本真绫,309,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,玛露西尔,迷宫饭,千本木彩花,280,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,奈良坂真绫,义妹生活,铃木爱唯,256,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,安琪·艾玛,86 -不存在的战区-,早见沙织,239,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,水濑名雪,Kanon,国府田麻理子,190,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,木之下茜,和山田谈场Lv999的恋爱,水濑祈,134,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,山田凉,孤独摇滚！,水野朔,,1671,,1322,,,1255,1053,980,1386,1339,153,1190,1127,1073,1047,1692,120,847,1765,1304,846,852,,897,900,577,879,1535,796,730,556,539,620,459,,,,,8520.5,,,,,
67,喜多郁代,孤独摇滚！,长谷川育美,,1646,1094,,,,1220,969,815,1436,1440,53,1350,1080,1085,1077,1683,150,1002,1753,1262,749,772,,871,964,630,895,1474,,821,532,551,648,466,6766.3,,,,,7464,,,,
68,初音未来,VOCALOID,藤田咲,,1434,1274,,,,1401,1237,1027,1206,1819,,1439,1310,1199,1318,2114,172,1130,2326,1553,1048,1158,691,1168,1131,1046,1476,2272,1203,1491,896,1003,1101,1122,,1057,1794,,1477,,3583,,2516,
69,长崎爽世,BanG Dream!,小日向美香,,1346,,1897,,,1157,1047,878,1654,1518,168,1367,1187,1030,1091,2262,1002,1103,1832,1469,1039,1045,,1036,996,992,1296,1834,,1208,816,787,915,739,,845,1307,888,865,,,,19611.4,
70,休比·多拉,NO GAME NO LIFE 游戏人生,茅野爱衣,,1294,1104,,,,1126,1006,907,965,1358,,1178,1083,1058,1062,1451,,859,1204,1227,485,977,,531,549,638,818,1419,734,,,,,,,,,,,,,,,
71,若叶睦,BanG Dream!,渡濑结月,,1219,,1589,,,1144,997,818,772,1577,,1320,1047,1033,1150,1470,,1098,2030,1532,875,1265,78,1012,1030,671,1178,1810,271,1188,563,511,750,559,5337.6,,,,,6346.6,,,,
72,秋山澪,轻音少女,日笠阳子,,1199,,1502,,,1115,917,911,1438,1225,107,1371,1030,958,1087,1579,184,891,1288,1263,905,573,,684,547,822,1162,1617,,705,445,508,751,533,,,,,7519.3,,,,,
73,高松灯,BanG Dream!,羊宫妃那,,1189,978,,,,1113,910,839,1308,2143,214,1275,1142,1033,1075,1504,,1030,1785,1408,1057,799,,877,910,527,736,1863,,1240,685,669,784,469,230/5393.3,,,,,5312.3,,,,
74,艾拉,可塑性记忆,雨宫天,,1009,937,,,,1052,501,722,1284,1358,,1206,1010,996,659,1680,,980,1178,1294,752,1136,,440,664,735,1279,1611,955,712,516,747,779,655,9365,480,1308,471,,,,11878,,
